Contract Start Date,Contract End Date,Super Product ID,ACK Code,Subscriber,Sub-Spouse,Sub-Children,Sub-Child,Family,Plan Name
01/01/19,01/31/19,2104736531,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
02/01/19,02/28/19,2104736532,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
03/01/19,03/31/19,2104736533,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
04/01/19,04/30/19,2104736534,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
05/01/19,05/31/19,2104736550,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
06/01/19,06/30/19,2104736551,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
07/01/19,07/31/19,2104736552,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
08/01/19,08/31/19,2104736553,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
09/01/19,09/30/19,2104736554,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
10/01/19,10/31/19,2104736555,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
11/01/19,11/30/19,2104736558,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
12/01/19,12/31/18,2104736561,14BC02,6.94,13,19.89,13,19.89,Premier Enhanced Option 1 - Materials Only
01/01/19,01/31/19,2104736870,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
02/01/19,02/28/19,2104736871,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
03/01/19,03/31/19,2104736872,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
04/01/19,04/30/19,2104736873,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
05/01/19,05/31/19,2104736874,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
06/01/19,06/30/19,2104736875,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
07/01/19,07/31/19,2104736876,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
08/01/19,08/31/19,2104736877,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
09/01/19,09/30/19,2104736878,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
10/01/19,10/31/19,2104736879,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
11/01/19,11/30/19,2104736880,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
12/01/19,12/31/18,2104736881,14BC02,6.40,12.01,18.5,12.01,18.5,Premier Enhanced Option 2 - Materials Only
01/01/19,12/31/18,2104720439,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
01/01/19,01/31/19,2104721027,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
02/01/19,01/31/19,2104720443,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
02/01/19,02/28/19,2104721028,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
03/01/19,02/28/19,2104720444,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
03/01/19,03/31/19,2104721029,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
04/01/19,03/31/19,2104720446,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
04/01/19,04/30/19,2104721030,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
05/01/19,04/30/19,2104720447,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
05/01/19,05/31/19,2104721031,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
06/01/19,05/31/19,2104720448,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
06/01/19,06/30/19,2104721033,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
07/01/19,06/30/19,2104720449,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
07/01/19,07/31/19,2104721035,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
08/01/19,07/31/19,2104720452,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
08/01/19,08/31/19,2104721041,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
09/01/19,08/31/19,2104720454,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
09/01/19,09/30/19,2104721042,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
10/01/19,09/30/19,2104720455,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
10/01/19,10/31/19,2104721043,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
11/01/19,10/31/19,2104720456,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
11/01/19,11/30/19,2104721044,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
12/01/19,11/30/19,2104720457,14BC01,6.33,11.88,18.26,11.88,18.26,Value Enhanced Option 1 - Materials Only
12/01/19,12/31/18,2104721045,14BC01,5.86,11,17.03,11,17.03,Value Enhanced Option 2 - Materials Only
01/01/19,01/31/19,2101404470,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
02/01/19,02/28/19,2101404472,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
03/01/19,03/31/19,2101404477,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
04/01/19,04/30/19,2101404480,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
05/01/19,05/31/19,2101404490,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
06/01/19,06/30/19,2101404496,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
07/01/19,07/31/19,2101404511,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
08/01/19,08/31/19,2101404515,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
09/01/19,09/30/19,2101404517,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
10/01/19,10/31/19,2101404524,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
11/01/19,11/30/19,2101404525,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
12/01/19,12/31/18,2101404527,14BC01,6.88,12.91,19.89,12.91,19.89,Value Standard Option 1 - Exam & Materials 
01/01/19,01/31/19,2101401798,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
02/01/19,02/28/19,2101401800,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
03/01/19,03/31/19,2101401801,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
04/01/19,04/30/19,2101401802,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
05/01/19,05/31/19,2101401803,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
06/01/19,06/30/19,2101401805,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
07/01/19,07/31/19,2101401806,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
08/01/19,08/31/19,2101401808,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
09/01/19,09/30/19,2101401809,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
10/01/19,10/31/19,2101401810,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
11/01/19,11/30/19,2101401812,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
12/01/19,12/31/19,2101401813,14BC01,6.40,12.04,18.67,12.04,18.67,Value Standard Option 2 - Exam & Materials 
